size,duration,throughput
1024,0.002915,351301.079676
1116,0.003445,323936.174793
1217,0.003587,339277.813547
1327,0.003682,360374.484537
1448,0.003931,368348.465680
1579,0.004266,370151.795769
1722,0.005148,334469.727442
1878,0.005271,356270.466834
2048,0.005782,354214.628320
2233,0.006238,357960.621434
2435,0.006677,364668.964200
2655,0.007165,370575.490585
2896,0.007691,376567.077215
3158,0.008347,378344.046887
3444,0.008917,386210.402904
3756,0.009850,381309.951235
4096,0.010475,391023.441891
4466,0.010105,441953.567595
4870,0.011066,440094.916768
5311,0.011603,457711.784386
5792,0.012638,458299.861785
6316,0.013573,465341.717172
6888,0.014504,474897.266166
7512,0.015582,482100.851880
8192,0.016960,483018.205840
8933,0.018446,484270.090210
9741,0.019019,512183.540200
10623,0.020402,520696.225507
11585,0.021887,529315.830981
12633,0.023596,535385.489383
13777,0.025398,542447.994553
15024,0.027685,542685.266494
16384,0.029951,547028.322988
17866,0.031982,558631.817127
19483,0.034304,567952.455022
21247,0.036294,585408.745040
23170,0.039246,590384.112321
25267,0.042151,599446.137697
27554,0.045600,604257.898877
30048,0.049416,608058.989264
32768,0.053019,618047.686707
35733,0.057427,622231.998071
38967,0.062467,623797.612126
42494,0.067151,632812.087483
46340,0.071271,650196.828744
50535,0.077614,651106.366612
55108,0.087965,626476.476102
60096,0.091317,658101.934150
65536,0.098562,664924.708292
71467,0.112405,635801.711874
77935,0.122599,635689.591119
84989,0.135168,628764.657663
92681,0.148905,622416.751918
101070,0.159055,635441.840567
110217,0.164129,671526.753034
120193,0.172527,696661.177102
131072,0.186381,703249.098653
142935,0.201007,711094.231381
155871,0.218380,713761.288162
169979,0.237242,716478.517801
185363,0.258878,716025.268229
202140,0.283698,712518.084257
220435,0.304121,724827.542507
240387,0.333954,719820.747754
262144,0.359906,728368.926207
285870,0.388066,736653.110724
311743,0.417705,746323.368733
339958,0.449589,756152.269560
370727,0.485705,763276.420071
404281,0.525973,768634.328988
440871,0.571731,771115.937321
480774,0.637539,754109.690443
524288,0.699259,749776.510173
571740,0.740442,772160.654382
623487,0.801175,778216.029117
679917,0.877604,774742.740432
741455,0.939620,789101.024270
808562,1.016434,795488.726353
881743,1.125176,783649.062500
961548,1.198822,802077.573471
1048576,1.303600,804369.740672
1143480,1.424334,802817.211042
1246974,1.533606,813099.278502
1359834,1.673895,812376.938433
1482910,1.825102,812508.093532
1617125,1.968965,821307.063922
1763487,2.141649,823424.772339
1923096,2.365468,812987.445039
2097152,2.568255,816566.864200
2286960,2.794583,818354.597648
2493948,3.050508,817551.738581
2719669,3.256983,835026.966575
2965820,3.563830,832200.223215
3234250,3.941753,820510.613191
3526975,4.205745,838608.809607
3846193,4.619018,832686.332058
4194304,5.286427,793409.947461
