size,duration,throughput
1024,0.006887351201101924,148678.3481922873
1117,0.007374451132547863,151468.89984395055
1218,0.00852462153662693,142880.2433945877
1328,0.008977239114901264,147929.6677968242
1448,0.009754848356725155,148439.0066403979
1579,0.010314743053608256,153081.85495203795
1722,0.011114854593333334,154927.8027472219
1878,0.011661644582750584,161040.75087126723
2048,0.012438932305970152,164644.35609292996
2233,0.013371657655080195,166995.00223531618
2435,0.01458552346064139,166946.35654118116
2656,0.015679540703125,169392.71693530204
2896,0.016351372081699348,177110.51925980192
3158,0.017373339815972222,181772.7641001234
3444,0.01880014113157895,183190.1141537203
3756,0.020094332329317267,186918.37770195847
4096,0.021515997712446357,190369.97748101578
4467,0.022760189254545458,196263.7458784703
4871,0.024543226999999997,198466.15931963635
5312,0.026613850531914906,199595.3194983918
5793,0.028981709693641618,199884.68800620633
6317,0.03178376708227847,198749.25409713754
6889,0.034345705698630144,200578.20504397913
7512,0.036842606566176474,203894.36850802045
8192,0.039362638320312476,208116.13117336817
8933,0.042645308974576246,209472.04311089797
9742,0.04572002243636363,213079.51048273448
10624,0.049032460427184475,216672.78997302498
11585,0.051416563846938754,225316.49595424585
12634,0.0559193543,225932.50866632414
13777,0.06032698059036144,228372.11253037877
15024,0.06490764757692306,231467.3318301179
16384,0.06917314183561644,236854.93480887506
17867,0.07439603092647058,240160.66149629507
19484,0.07929888190625001,245703.33820134672
21247,0.08489086766101697,250286.05061315573
23170,0.09176315498181822,252497.8571692621
25268,0.09897471450980391,255297.52851671106
27554,0.10636073141666669,259061.77621191402
30048,0.11561157256818179,259904.77711285543
32768,0.12313393556097559,266116.7276974866
35734,0.13624870016216217,262270.39199250826
38968,0.1449159746857143,268900.65146034886
42495,0.15431638475757578,275375.81357130525
46341,0.17038312870000002,271981.1541998054
50535,0.1772184637586207,285156.51771381387
55109,0.1898015643703704,290350.6100321846
60097,0.20361363304000002,295152.14233318996
65536,0.220456927173913,297273.4893846192
71468,0.2381099523636364,300147.0509340811
77936,0.2621144309,297335.7847272956
84990,0.2826873446111111,300650.17631730036
92682,0.3014196885294118,307484.89075874124
101070,0.3240283355625,311917.16559154185
110218,0.35031645526666666,314624.10156011727
120194,0.3776987765,318227.13622160756
131072,0.4105275059230769,319277.02312000445
142935,0.4251215101666666,336221.51921685424
155872,0.46177452236363636,337550.0216039519
169979,0.4980951512727273,341258.0900771098
185364,0.538781108,344043.2436246447
202141,0.5871792588888889,344257.73209787515
220436,0.6350098747499999,347137.9088187952
240387,0.6800067340000001,353506.7933606669
262144,0.744298077,352202.9790223414
285870,0.800402339,357157.876821247
311744,0.8762788606666666,355758.89593277127
339959,0.9469273954999999,359012.74122552306
370728,0.9921646801666668,373655.7120111593
404281,1.0822096577999998,373569.94283515634
440872,1.1768434912,374622.45684891625
480774,1.28300019775,374726.3646904609
524288,1.3839205932499998,378842.54527115735
571740,1.48611734325,384720.6296305364
623487,1.63329569775,381735.53071798634
679917,1.7439522636666667,389871.3365986703
741455,1.8909524720000002,392106.6293198722
808563,2.1019131383333334,384679.5499081054
881744,2.2722139303333333,388055.0102386919
961548,2.4364573743333335,394650.0399019293
1048576,2.554548354,410474.12485189544
