size,duration,throughput
1024,0.00035614211096866204,2875256.726071646
2048,0.0006613715587885213,3096595.208526141
4096,0.0012653369364878553,3237082.4575540344
8192,0.0024541676609420955,3337995.252066556
16384,0.005001100251000001,3276079.098139238
32768,0.011794452615566041,2778255.258472408
65536,0.02480098150990098,2642476.0638540415
131072,0.04936115245098042,2655367.500387375
262144,0.10033698383999999,2612635.8394230963
524288,0.20724530804000005,2529794.304915256
1048576,0.4923992194545455,2129524.0905571673
2097152,1.1022927915999998,1902536.2553228189
4194304,2.563793937,1635975.4734843967
8388608,5.379880916,1559255.331294028
