size,duration,throughput
1024,0.0008137964872253866,1258299.852695722
2048,0.0016027284163461532,1277820.982714565
4096,0.0030530310757020686,1341617.5264636285
8192,0.00607493174150486,1348492.5178716013
16384,0.012163054895631076,1347030.0134783632
32768,0.024214989806763284,1353211.389370391
65536,0.04886263231067963,1341229.4201283988
131072,0.09738680651923078,1345890.7287828303
262144,0.197154022,1329640.640047404
524288,0.4077564290769231,1285787.2068059857
1048576,0.8941930898333332,1172650.5291999537
2097152,2.157927569,971836.1404372049
4194304,4.9602368125,845585.4344353443
8388608,10.099289333,830613.6920535337
