size,duration,throughput
1024,0.0003793186350326212,2699577.3616867955
2048,0.0007926332417181839,2583792.720528058
4096,0.0014135360975127216,2897697.4887357885
8192,0.0028184678287323864,2906543.731487038
16384,0.0057068815461801614,2870919.9354183986
32768,0.011442577661327235,2863690.4174788194
65536,0.023568138793427226,2780703.2440880286
131072,0.048091568971153846,2725467.3283506148
262144,0.09982768680392158,2625964.884019551
524288,0.21348365416666668,2455869.523343873
1048576,0.5314041164,1973217.684318262
2097152,1.25440892675,1671824.8374024495
4194304,2.8591949784999997,1466952.7722101798
8388608,5.968138083,1405565.3343367858
