size,duration,throughput
1024,0.0009116397117593422,1123250.7610093218
1117,0.0010653749275671089,1048457.1873216336
1218,0.0011063113712389363,1100955.8716150462
1328,0.0011577387295670298,1147063.6388718241
1448,0.0012005062439375714,1206157.8249278134
1579,0.0012467155297930658,1266527.8985191497
1722,0.0012916645003874963,1333163.5261969373
1878,0.0013522059153596524,1388841.7279261048
2048,0.001427464919497569,1434711.2647229491
2233,0.0018181838832727227,1228148.6050688175
2435,0.0019053926769523805,1277951.7993607023
2656,0.002003034888265923,1325987.8874597962
2896,0.002033805941032936,1423931.3306997076
3158,0.0021690875190806614,1455911.74732243
3444,0.0022918253776351935,1502732.290866624
3756,0.0024058988292448317,1561162.902755533
4096,0.002535281003041056,1615600.0045308075
4467,0.002663736401490948,1676967.7350580667
4871,0.002804641347167694,1736763.9555478448
5312,0.002946929584560987,1802554.0982823805
5793,0.0031199711958827237,1856747.9108924929
6317,0.00332806626214238,1898099.2271270314
6889,0.0035022313242296954,1967031.689865664
7512,0.003742601580089817,2007159.9499030092
8192,0.0039925371564245825,2051828.118072204
8933,0.004741294045497624,1884084.7908352907
9742,0.00500614851051051,1946006.991112324
10624,0.005307621489925766,2001649.895374998
11585,0.005652507383050849,2049532.926703969
12634,0.006064407018181822,2083303.4395814375
13777,0.006394711682864452,2154436.4598825388
15024,0.006841270978112184,2196083.161749836
16384,0.007293054134110791,2246521.100586569
17867,0.008915418789661324,2004056.1662363284
19484,0.00945117422830189,2061542.780753575
21247,0.010141608929149797,2095032.4695453628
23170,0.010986828905701749,2108888.761157976
25268,0.011858311632701414,2130826.1059963186
27554,0.014190762317280453,1941685.681427191
30048,0.01309880131151833,2293950.361211871
32768,0.014213781531249992,2305368.203947504
35734,0.017473649745644602,2045022.105865827
38968,0.019172351563218403,2032510.194250713
42495,0.022980955977064222,1849139.7852383277
46341,0.028090765191011235,1649688.0624251794
50535,0.026293971130890048,1921923.4610260788
55109,0.024933129044776126,2210272.120319619
60097,0.02990440324999998,2009637.1593705032
65536,0.02987101514880952,2193966.28047346
71468,0.03303545251315788,2163372.8180818656
77936,0.03833443500763359,2033054.614851647
84990,0.04437500189380531,1915267.5238953508
92682,0.06540224898701298,1417107.231563306
101070,0.04872359699029126,2074354.2399002144
110218,0.04379475879130432,2516693.8474355605
120194,0.04951320159405938,2427514.2008676114
131072,0.06503636370129869,2015364.8288516272
142935,0.07144975447142858,2000496.7274892041
155872,0.09359994524074074,1665300.119557703
169979,0.08483106783050848,2003735.2393066199
185364,0.0870250276724138,2130007.940908232
202141,0.08991342433928572,2248173.7458605375
220436,0.09207779225454547,2394019.1722952398
240387,0.10696814297872342,2247276.556421236
262144,0.13382491692105264,1958857.9319249394
285870,0.14187906130555555,2014885.0532943737
311744,0.16953419906666664,1838826.6303568142
339959,0.1455255772,2336077.3174105645
370728,0.1561364452121212,2374384.785668347
404281,0.18181909582142852,2223534.3222532566
440872,0.19698448115384615,2238105.242695114
480774,0.20040214264000003,2399046.2061259323
