size,duration,throughput
1024,0.000846,1210977.320434
1116,0.000874,1277049.094418
1217,0.000948,1284149.207179
1327,0.001011,1311956.919655
1448,0.000957,1513761.154615
1579,0.001009,1564504.721982
1722,0.001082,1591855.783684
1878,0.001118,1679844.007754
2048,0.001239,1652301.707697
2233,0.001440,1550558.900796
2435,0.001197,2034035.270738
2655,0.001236,2147656.259228
2896,0.001351,2143573.761748
3158,0.001402,2252768.837362
3444,0.001519,2267061.100488
3756,0.001665,2255236.311150
4096,0.001504,2722624.756657
4466,0.001545,2889728.512469
4870,0.001673,2911752.252719
5311,0.001799,2952770.816983
5792,0.001849,3132815.349372
6316,0.002017,3131163.937606
6888,0.002001,3442148.330121
7512,0.002005,3746349.989765
8192,0.002048,3999309.152361
8933,0.002237,3992504.406983
9741,0.002347,4151138.912029
10623,0.002433,4365463.617011
11585,0.002550,4542376.434214
12633,0.002665,4739802.083115
13777,0.002780,4954986.436621
15024,0.002869,5236665.587518
16384,0.003003,5455600.334017
17866,0.003328,5368866.013964
19483,0.003511,5549109.314477
21247,0.003733,5691472.367526
23170,0.004000,5792228.496240
25267,0.004221,5985969.304166
27554,0.004510,6110184.459720
30048,0.004857,6186344.623882
32768,0.005229,6266864.225674
35733,0.005629,6347884.970993
38967,0.005200,7493391.686796
42494,0.005478,7757119.867693
46340,0.005927,7818680.850917
50535,0.006376,7925303.163100
55108,0.006511,8463949.912283
60096,0.007162,8391191.015122
65536,0.007170,9140424.235734
71467,0.007548,9468585.168186
77935,0.008166,9544213.328002
84989,0.009043,9398206.294520
92681,0.009553,9702261.897989
101070,0.010235,9874474.605867
110217,0.010837,10170240.559153
120193,0.011580,10379414.107488
131072,0.012480,10502359.831951
142935,0.012891,11088259.197709
155871,0.014242,10944781.386348
169979,0.016559,10265183.509728
185363,0.017326,10698633.839584
202140,0.018574,10883200.843979
220435,0.019756,11157787.978195
240387,0.020895,11504387.346815
262144,0.022431,11686571.643709
285870,0.024144,11840046.750456
311743,0.025838,12065083.038643
339958,0.027791,12232629.390108
370727,0.036521,10151181.271272
404281,0.041435,9757104.297377
440871,0.062163,7092216.702308
480774,0.042400,11339063.081021
524288,0.045159,11609813.314171
571740,0.064973,8799656.337205
623487,0.067047,9299267.122826
679917,0.057066,11914638.401265
741455,0.060691,12216818.651497
808562,0.087658,9224019.119986
881743,0.081335,10840818.671493
961548,0.303452,3168698.281345
1048576,0.102755,10204657.915541
1143480,0.103675,11029513.225536
1246974,0.108358,11507868.046642
1359834,0.116957,11626763.291085
1482910,0.125820,11785988.578286
1617125,0.137757,11738997.775656
1763487,0.194846,9050675.586630
1923096,0.207085,9286496.681844
2097152,0.236273,8875956.093136
2286960,0.252800,9046529.610215
2493948,0.288750,8637057.802420
2719669,0.325920,8344589.767388
2965820,0.343330,8638405.322987
3234250,0.356721,9066614.716619
3526975,0.394927,8930703.385229
3846193,0.548706,7009575.458534
4194304,0.649477,6457971.857492
4573920,0.628774,7274345.004950
4987896,0.681595,7317980.314885
5439339,1.104139,4926317.078556
5931641,0.933401,6354865.588524
6468501,0.860171,7520018.616921
7053950,0.898206,7853379.461224
7692387,1.012140,7600120.330765
8388608,1.080620,7762776.548801
9147841,1.181893,7739990.130065
9975792,1.379113,7233484.028464
10878678,1.503424,7235936.912258
11863283,1.602615,7402455.219887
12937002,2.038539,6346212.477792
14107900,1.898420,7431392.099069
15384774,2.017101,7627172.640015
16777216,2.536873,6613345.396311
18295683,2.188526,8359818.128750
19951584,2.401184,8309060.486124
21757357,2.594979,8384406.275175
23726566,2.965129,8001867.535886
25874004,3.345232,7734591.865846
28215801,3.406371,8283243.862523
30769549,4.038585,7618892.871320
33554432,3.630104,9243380.486078
36591367,3.086351,11855866.029740
39903169,3.244450,12298901.680769
43514714,5.737116,7584771.664413
47453132,3.689651,12861142.099174
51748008,4.200734,12318800.160191
56431603,4.380381,12882806.228761
61539099,5.206614,11819408.032933
67108864,5.214298,12870161.907786
73182735,5.484668,13343147.622884
79806338,6.373581,12521428.968887
87029429,6.517275,13353652.366492
94906265,7.440008,12756203.951804
103496016,8.415999,12297532.607142
112863206,8.302505,13593873.563081
123078199,9.093337,13534986.822655
134217728,10.696240,12548122.816515
146365470,10.841433,13500564.907379
159612677,12.172108,13112985.111629
174058858,15.013374,11593587.153436
189812531,14.412261,13170211.866268
206992033,15.472038,13378459.395186
225726412,17.372995,12992947.755503
246156398,17.656025,13941779.143101
268435456,20.002086,13420372.792078
