size,duration,throughput
1024,0.0014952331872009538,684843.0122908837
2048,0.0022008711034330946,930540.6376617722
4096,0.003965918445678036,1032799.856099846
8192,0.0067209906040268524,1218867.9441229687
16384,0.011854998966824652,1382033.0179571863
32768,0.021094000147058832,1553427.5041032885
65536,0.03537314054225352,1852705.1597727572
131072,0.052892461410526316,2478084.711972109
262144,0.11472165802272727,2285043.6832778966
524288,0.33445423073333325,1567592.6683613246
1048576,0.8926755056666668,1174644.0821369954
2097152,1.7267960713333332,1214475.776737608
4194304,3.0455674245,1377183.1042908502
8388608,5.074224065,1653180.4454323007
16777216,9.960862073,1684313.6544854355
33554432,20.011487774,1676758.4888713632
67108864,41.099995703,1632819.2461368444
134217728,86.438832094,1552748.050251786
268435456,197.256711165,1360843.2099197926
536870912,455.486434398,1178675.9636641275
1073741824,992.064318167,1082330.8573217434
