size,duration,throughput
1024,0.0023281217525584767,439839.5396953277
2048,0.0022351449816718776,916271.6587932949
4096,0.003177040678526042,1289250.0960674826
8192,0.006227941214196763,1315362.4477581952
16384,0.010569337672995794,1550144.4373246224
32768,0.019041395566539946,1720882.2686074972
65536,0.03204237004458598,2045291.9028401661
131072,0.05411073416129033,2422292.0282195345
262144,0.128148528775,2045626.294003468
524288,0.3579031328571429,1464887.987469139
1048576,0.8880172768333333,1180805.855195992
2097152,1.66447036975,1259951.536604997
4194304,2.7118963540000003,1546631.379851031
8388608,5.222599024,1606213.2975269365
16777216,8.401106991,1997024.4418947669
33554432,15.586042675,2152851.2849397804
67108864,31.615437034,2122661.2786604697
134217728,67.345862579,1992961.747910735
268435456,152.395851511,1761435.4546955908
536870912,330.435496856,1624737.4059632649
1073741824,733.921465538,1463020.0565300202
