size,duration,throughput
1024,0.0016702409899799588,613085.1812062683
2048,0.005676917898980539,360759.1366378189
4096,0.003939096501574802,1039832.3570804802
8192,0.011832551144208031,692327.4533243779
16384,0.007758377382945742,2111781.7800426763
32768,0.014268200307692306,2296575.5521622472
65536,0.02724702358152173,2405253.5427922825
131072,0.053686083957446826,2441452.0549476384
262144,0.1258058063,2083719.4062004117
524288,0.3562907548666667,1471517.2730097985
1048576,0.9249706445,1133631.6522421269
2097152,1.8684391976666666,1122408.4800934135
4194304,3.2368117785,1295813.3765639348
8388608,5.755015068,1457617.035035016
16777216,10.88576765,1541206.5128911694
33554432,21.09216512,1590848.1566068833
67108864,43.937271751,1527378.9501614338
134217728,94.694423478,1417377.318223837
268435456,210.845119024,1273140.479810892
536870912,476.0170532,1127839.6611863233
1073741824,1038.823977016,1033612.8620021851
