size,duration,throughput
1024,0.002355365704368173,434752.02092860907
2048,0.0022959323420569332,892012.3483103993
4096,0.003888556271384137,1053347.2358732314
8192,0.004888902322580651,1675631.7593344306
16384,0.007025071428370776,2332218.2794943773
32768,0.012981654033678763,2524177.575137099
65536,0.029262160883977904,2239615.873203791
131072,0.049431747235294116,2651575.299899879
262144,0.11925990054761906,2198090.043646557
524288,0.32818439475,1597540.9202481587
1048576,0.8386206854285714,1250357.9010385755
2097152,1.6556492595,1266664.4145592358
4194304,2.516608682,1666649.2609676213
8388608,5.03768102,1665172.5201926343
16777216,7.857021545,2135315.0050449558
33554432,15.41048841,2177376.2847273704
67108864,28.749300328,2334278.1644894574
134217728,63.166436782,2124826.6458849376
268435456,145.347682159,1846850.613732875
536870912,318.187302981,1687279.4953482423
1073741824,693.558714644,1548162.8322573178
