size,duration,throughput
1024,0.013025491606770833,20125459.208290756
2048,0.019377675559845552,27056289.511133645
4096,0.03504150823776222,29923826.134572882
8192,0.078806011109375,26611574.047179714
16384,0.15904342003125,26372068.704105288
32768,0.2937234573333333,28559543.987936083
65536,0.5644471293333333,29723272.78874731
131072,1.1151164470000001,30090518.4299555
262144,2.251884469,29801202.02605296
524288,4.446650963,30184003.448169902
1048576,10.854249255,24730909.49853998
2097152,13.678434915,39249440.1103783
4194304,28.289531846,37955446.906832494
8388608,60.385591219,35562848.76323784
16777216,139.616434833,30762619.752734393
