size,duration,throughput
1024,0.0022177101991130792,461737.5166554785
2048,0.0036673707236070455,558438.2257340179
4096,0.006321703350189635,647926.6382971182
8192,0.011739501316901414,697814.9905061078
16384,0.020701947838842973,791423.1128173734
32768,0.04234004657983193,773924.5146605144
65536,0.07735265161538463,847236.6316006881
131072,0.13755759872972978,952851.7596292696
262144,0.25099244545000005,1044429.8414241374
524288,0.47606970027272727,1101284.118060128
1048576,0.9183588540000001,1141793.3147078909
2097152,1.7656475966666667,1187752.303437659
4194304,3.463114625,1211136.3481074497
8388608,6.950628208,1206884.8669455403
16777216,13.898754208,1207102.143754955
33554432,27.7256585,1210230.299850227
