size,duration,throughput
1024,0.0021913128488168297,467299.77444931935
1117,0.002314159950948638,482680.550902331
1218,0.0024574389842751863,495637.9416920682
1328,0.0026229182359727337,506306.2896078035
1448,0.0027939245530726247,518267.3950187949
1579,0.003064199875000002,515305.81046055263
1722,0.003148653160579345,546900.5038596109
1878,0.0033689248962962973,557447.867735081
2048,0.0036161837657266824,566342.8997747432
2233,0.0038696201755607134,577059.2199469383
2435,0.004145830990886496,587337.0152697248
2656,0.004447814252444447,597147.2389028623
2896,0.004784441947418737,605295.2532034434
3158,0.005139800025693737,614420.791511972
3444,0.005531508051991146,622615.0206470878
3756,0.005945137270783844,631776.8335574169
4096,0.005622322504494379,728524.5548838108
4467,0.005971098112171833,748103.6010602821
4871,0.006453802717419344,754748.8222490549
5312,0.006925581620498611,767011.3921229853
5793,0.007480156200298955,774449.0682919796
6317,0.008308036845514946,760348.0963628853
6889,0.008728319563699823,789269.9104018415
7512,0.009298334942379187,807886.5782477274
8192,0.010169161162601624,805572.8362460333
8933,0.010879377913043477,821094.7419420066
9742,0.011750122694835679,829097.7254460268
10624,0.012787645073979587,830801.9137642324
11585,0.01411919298873238,820514.3175849529
12634,0.015485169919504653,815877.3888613643
13777,0.017123826301369847,804551.4920282675
15024,0.018338186769230765,819274.0203305397
16384,0.019922414848605585,822390.2636555504
17867,0.02132463848085107,837857.1114368043
19484,0.023055566281105964,845088.7634873291
21247,0.024973455940298504,850783.3297399061
23170,0.027138267659459474,853775.9407028226
25268,0.029375079584795342,860184.9035697189
27554,0.03184951824840766,865130.8250597348
30048,0.034623391062068944,867852.60132762
32768,0.038465840984615404,851872.7047487593
35734,0.0423263091764706,844250.318425229
38968,0.046299073342592596,841658.3137993733
42495,0.04945521450980393,859262.2723651486
46341,0.05385261887096772,860515.2538827173
50535,0.05666816442696629,891770.5472025535
55109,0.059611919773809544,924462.7619627862
60097,0.06289931996249998,955447.5316399176
65536,0.0681733465,961314.1112267388
71468,0.07256897076811594,984828.6291446252
77936,0.07953795860317464,979859.193882923
84990,0.08345317955000005,1018415.3612634877
92682,0.0907541559107143,1021242.4882358264
101070,0.09651812226923076,1047160.860818159
110218,0.10801612997872338,1020384.6409023387
120194,0.11920120793023256,1008328.7081314521
131072,0.12546849345,1044660.6665619448
142935,0.13265774963157895,1077471.9185042966
155872,0.14828925088235295,1051134.8534875459
169979,0.15635540846875,1087132.2051771102
185364,0.17067630796666663,1086055.8340423084
202141,0.18512842375,1091896.0789779858
220436,0.19933838438461537,1105838.199103077
240387,0.21142314199999998,1136994.7382581232
262144,0.23337487459090903,1123274.3047404797
285870,0.25123003930000004,1137881.4444184978
311744,0.2698107321052632,1155417.3459578217
339959,0.29404158522222223,1156159.5947154062
370728,0.326614648,1135062.3809131794
404281,0.3461390774,1167972.7207824355
440872,0.3730158449285715,1181912.2592082443
480774,0.40529819838461545,1186222.889507543
524288,0.45420045458333336,1154309.7209820328
571740,0.4913399276363636,1163634.314740934
623487,0.5311439539,1173856.9090770178
679917,0.5746945226666667,1183092.8835811513
741455,0.6236656155555554,1188866.2474032962
808563,0.6754228018749999,1197121.2664947018
881744,0.7349533627142858,1199727.8259175464
961548,0.7939527852857144,1211089.6489316733
1048576,0.8558072081666667,1225247.9179817706
1143480,0.9237470413333334,1237871.3531244493
1246974,1.0061190080000002,1239390.1616855247
1359835,1.0906991914,1246755.3022154006
1482910,1.1929515414,1243059.7124336807
1617125,1.2992394790000001,1244670.460017633
1763488,1.4115459162500001,1249330.9496335697
1923097,1.5402209997499998,1248585.1058465939
2097152,1.6722022633333333,1254125.7992436755
2286960,1.8236495689999999,1254056.7216836824
2493948,1.9925423333333334,1251641.1612835662
2719670,2.2073624580000004,1232090.357495787
2965821,2.359650944333333,1256889.7137614253
3234251,2.5818052495,1252709.126928282
3526975,2.7909325000000003,1263726.371024738
3846194,3.0458762495,1262754.5195348554
4194304,3.318603479,1263876.2137572025
4573921,3.6143914375,1265474.722119109
4987896,3.942486208,1265165.1107564254
5439339,4.3400978955,1253275.6474548054
5931642,4.7145207285,1258164.3695280233
6468501,5.091638416,1270416.4104963418
7053950,5.561977458,1268244.9818012188
7692387,6.043917041,1272748.6078675976
8388608,6.694502958,1253059.1221825553
9147842,7.314026041,1250725.9269682986
9975792,8.008086875,1245714.7575587458
10878679,8.6490505,1257788.8173967768
11863283,9.394800416,1262749.869576367
12937002,10.223611416,1265404.3149325424
14107901,11.155651458,1264641.6081673892
15384775,12.155139333,1265701.2460755475
16777216,13.526502541,1240321.8015260638
18295684,15.262128291,1198763.6095805112
19951585,15.954682125,1250515.9829375166
21757357,17.371254958,1252491.950213422
23726566,18.958804458,1251480.0736809203
25874004,20.538662541,1259770.637369858
28215802,22.390846041,1260148.9889365453
30769550,24.399772791,1261058.8739313807
33554432,27.00674425,1242446.3937373718
36591368,29.424689333,1243560.0453039454
39903169,31.991720208,1247296.7611795263
43514715,34.79897075,1250459.8286143276
47453133,37.829399541,1254398.2610289564
51748008,41.334086916,1251945.110222548
56431603,44.835929041,1258624.5943157861
61539100,50.216361833,1225479.06207652
67108864,59.283716416,1131994.8892726314
73182735,59.41444025,1231733.139150461
79806339,64.014740166,1246686.9160610505
87029429,72.559121916,1199427.8142002868
94906266,79.782030208,1189569.4525768466
103496017,88.193982166,1173504.2965312337
112863206,95.959699083,1176152.1459376332
123078199,104.548120916,1177239.7047565123
134217728,118.260690541,1134931.035714423
146365470,128.97425,1134842.5751651975
159612677,142.006272833,1123983.284792674
174058859,158.807728958,1096035.1875948901
189812531,197.887448666,959194.3919615181
206992033,269.731559958,767400.1256368769
225726413,326.163542125,692065.1263760554
246156398,351.237956541,700825.1625882186
268435456,417.504009291,642953.0017109385
