size,duration,throughput
1024,0.001575,650067.529414
1116,0.001635,682425.083321
1217,0.001843,660297.500987
1327,0.001913,693853.795806
1448,0.002029,713805.990986
1579,0.002159,731366.844561
1722,0.002397,718262.284400
1878,0.002680,700867.277466
2048,0.002836,722247.120863
2233,0.003006,742764.071932
2435,0.003236,752453.967237
2655,0.003444,770831.756102
2896,0.003674,788285.971717
3158,0.003942,801154.332093
3444,0.004252,810025.731785
3756,0.004572,821521.330147
4096,0.004923,832000.770622
4466,0.005239,852533.899634
4870,0.005603,869117.637787
5311,0.006013,883323.870109
5792,0.006437,899798.987962
6316,0.006976,905385.113426
6888,0.007495,918962.528696
7512,0.008105,926869.451836
8192,0.008629,949330.620214
8933,0.009333,957108.960140
9741,0.009773,996767.463182
10623,0.010801,983481.885045
11585,0.011416,1014807.057591
12633,0.012124,1042010.586225
13777,0.012982,1061252.272873
15024,0.014171,1060207.083871
16384,0.015182,1079191.681478
17866,0.016466,1085046.328090
19483,0.017864,1090623.231698
21247,0.020236,1049954.722897
23170,0.021708,1067341.605409
25267,0.023305,1084195.218110
27554,0.025070,1099084.183676
30048,0.027063,1110315.250159
32768,0.029060,1127598.305767
35733,0.031368,1139144.944234
38967,0.033913,1149042.008075
42494,0.036845,1153321.982800
46340,0.041839,1107570.836945
50535,0.045501,1110631.075154
55108,0.049434,1114789.443485
60096,0.053209,1129441.610431
65536,0.056161,1166934.962647
71467,0.060638,1178578.893047
77935,0.065416,1191375.237754
84989,0.071185,1193913.596833
92681,0.073397,1262743.481286
101070,0.082136,1230516.295170
110217,0.087612,1258005.567664
120193,0.095314,1261020.726000
131072,0.103352,1268209.362071
142935,0.112129,1274741.575691
155871,0.121665,1281145.493899
169979,0.130010,1307428.575250
185363,0.142662,1299316.076213
202140,0.154986,1304242.925686
220435,0.168622,1307274.558507
240387,0.179415,1339840.462617
262144,0.192975,1358435.763088
285870,0.206163,1386617.924842
311743,0.228417,1364799.131454
339958,0.240762,1412009.400834
370727,0.262598,1411768.111495
404281,0.288989,1398950.606281
440871,0.302676,1456575.584189
480774,0.355598,1352014.305842
524288,0.377300,1389577.269341
571740,0.403942,1415402.972955
623487,0.435863,1430463.940633
679917,0.474326,1433439.008062
741455,0.511121,1450644.215189
808562,0.550432,1468958.337283
881743,0.640132,1377438.993389
961548,0.641656,1498540.678335
1048576,0.694038,1510833.870817
1143480,0.755439,1513663.680221
1246974,0.813428,1532986.930307
1359834,0.898956,1512681.598901
1482910,0.971972,1525671.903354
1617125,1.045564,1546653.856662
1763487,1.145037,1540113.236985
1923096,1.232724,1560038.307605
2097152,1.342136,1562548.567362
2286960,1.456355,1570331.117372
2493948,1.588396,1570104.416590
2719669,1.718488,1582593.682637
2965820,1.880833,1576865.400594
3234250,2.212621,1461728.087909
3526975,2.232133,1580091.827001
3846193,2.419639,1589573.136401
4194304,2.867333,1462789.426859
4573920,3.293343,1388838.151643
4987896,3.353420,1487405.822809
5439339,3.639805,1494404.069719
5931641,3.931499,1508747.887422
6468501,4.177383,1548457.568608
7053950,4.568050,1544192.704767
7692387,5.001741,1537941.773329
8388608,5.285563,1587079.270442
9147841,5.922474,1544597.981544
9975792,6.338073,1573947.160280
10878678,6.903960,1575715.609576
11863283,7.337262,1616854.161101
12937002,8.095266,1598094.820455
14107900,8.715398,1618732.753495
15384774,9.679852,1589360.532528
16777216,10.309620,1627336.008983
