size,duration,throughput
1024,0.004410578331569665,232169.0996100215
1117,0.004480474818100353,249303.9343704178
1218,0.0047961673806327845,253952.77173152007
1328,0.005084429019308944,261189.60358315645
1448,0.005286667702959833,273896.54151883087
1579,0.005816585297674412,271465.11556038144
1722,0.006062516402424247,284040.46862642973
1878,0.006354364776365938,295544.88388594345
2048,0.00677369226657646,302346.1827614283
2233,0.0071305009700854734,313161.72725704475
2435,0.007633107969512192,319005.0513795645
2656,0.007988915399361016,332460.64919055684
2896,0.008656017257785467,334564.9521892133
3158,0.009168678631868137,344433.49219630694
3444,0.009939788547619056,346486.2439981145
3756,0.010673326513859277,351905.2841794774
4096,0.011492541729357793,356405.05785910995
4467,0.012120204968523004,368558.1235301798
4871,0.013096480136125663,371931.99618298275
5312,0.013425131600536188,395675.82337798784
5793,0.014573221561046509,397509.9106078507
6317,0.015558291621118017,406021.44206023443
6889,0.01654496365676568,416380.48550097016
7512,0.017507390115384613,429075.9473851464
8192,0.01827598752554745,448238.4324539865
8933,0.01969597553937007,453544.4300356651
9742,0.02152121285407725,452669.6551005187
10624,0.023271209195348815,456529.7793860838
11585,0.024440028146341476,474017.4573708175
12634,0.025112789260000004,503090.27281663247
13777,0.026255369853403137,524730.7532487214
15024,0.027336604661202198,549592.7598251802
16384,0.028571528908571422,573437.9862004801
17867,0.030992218771604938,576499.5443427155
19484,0.03238755798064517,601589.0426701406
21247,0.03407472192517007,623541.4054635445
23170,0.03678561638970586,629865.7539005906
25268,0.03934082551562501,642284.4378281869
27554,0.04085471516260163,674438.6759358172
30048,0.04391229973684212,684272.9754549825
32768,0.04547454099099099,720579.0159925243
35734,0.051714224752577316,690989.7648271156
38968,0.053158025557894735,733059.5820862404
42495,0.05499175560439559,772752.1977240402
46341,0.05948130558823531,779085.1182857306
50535,0.0627484048875,805359.1177433578
55109,0.06863573597260274,802919.9252995234
60097,0.07530335473134328,798065.3745693751
65536,0.08245946073770496,794766.2938090664
71468,0.08621254629310343,828974.4715000615
77936,0.09407593712962964,828437.1368271357
84990,0.10104297804000001,841127.2277263532
92682,0.10885686745652172,851411.6028280706
101070,0.11540174870454548,875809.9520550768
110218,0.12074271097619048,912833.5707298649
120194,0.13040301356410258,921711.8279319204
131072,0.14277818719444446,918011.3753755521
142935,0.15485342645454542,923034.1444330658
155872,0.16202723351612905,962011.1176216785
169979,0.18369379428571428,925338.8262840142
185364,0.19538668388461541,948703.3420837714
202141,0.20548282960000003,983736.6966062062
220436,0.21289520629166667,1035420.213727135
240387,0.23250368149999998,1033906.2093517862
262144,0.25164076635,1041738.9988210072
285870,0.27589461815789473,1036156.4930432835
311744,0.29410833761111116,1059963.1500831773
339959,0.3162017053749999,1075133.3538724121
370728,0.33811413579999994,1096458.1505083588
404281,0.3703346515,1091663.9811114192
440872,0.4020908491538462,1096448.727763301
480774,0.4293952462499999,1119653.7553657189
524288,0.4699864503636364,1115538.5428544793
571740,0.5098348079,1121422.058950793
623487,0.5382470911999999,1158365.7583916732
679917,0.5794730922222222,1173336.621019943
741455,0.6461833538749999,1147437.4812561788
808563,0.726573446,1112844.137714331
881744,0.7808587318571428,1129197.8485057321
961548,0.8196673031428572,1173095.4697267152
1048576,0.8667501244999999,1209778.8859331165
1143480,0.9728786595,1175357.2645818735
1246974,1.023476358,1218371.084249315
1359835,1.1391663832,1193710.611596636
1482910,1.253392885,1183116.6569929908
1617125,1.36746205175,1182573.9499904187
1763488,1.4456206040000001,1219883.0005054355
1923097,1.54592549975,1243977.7986138365
2097152,1.64730057275,1273083.9985680445
2286960,1.850295444333333,1235997.2062861554
2493948,1.9307395413333335,1291706.0777020836
2719670,2.187713958,1243156.1219668372
2965821,2.3249151939999995,1275668.4663827787
3234251,2.5150302705,1285969.015139136
3526975,2.7366481665,1288793.7306573018
3846194,3.065695562,1254590.9801594317
4194304,3.2984824789999996,1271585.9570888449
4573921,3.4906964995000003,1310317.5829394388
4987896,3.8143988330000003,1307649.3094659038
5439339,4.0100556455,1356424.8182201441
5931642,4.243134354,1397938.765339411
6468501,4.6207623125,1399877.457990326
7053950,5.007444208,1408692.6797367923
7692387,5.396471916,1425447.4256027981
8388608,5.950268125,1409786.5547865543
9147842,6.534554041,1399918.3330038055
9975792,7.485142041,1332745.8510950655
10878679,7.795107,1395577.8926447064
11863283,8.448667583,1404160.228042434
12937002,9.29009475,1392558.6711588707
14107901,9.853035041,1431833.0282288499
15384775,10.323823166,1490220.70144203
16777216,11.244921833,1491981.558356823
