size,duration,throughput
1024,0.0005897820914130672,1736234.4752560798
2048,0.000840398491428571,2436939.167416471
4096,0.0014113228185153777,2902241.745307238
8192,0.002382887878037164,3437845.345349579
16384,0.004663293586206899,3513396.636330304
32768,0.009382710587242033,3492380.98045523
65536,0.019389335104651167,3380002.4418722354
131072,0.039544020015748055,3314584.605910116
262144,0.08194599495161291,3198984.894317161
524288,0.17210177463333334,3046383.46186149
1048576,0.3505904025333333,2990886.2091577193
2097152,0.7437029877142857,2819878.4120061644
4194304,1.6318945205,2570205.3333170684
8388608,3.918065062,2141007.8360766126
16777216,8.643334124999999,1941058.3644422055
33554432,18.425658124999998,1821071.0180535277
67108864,37.529053291,1788184.302962251
134217728,79.784243,1682258.5883280234
268435456,178.160891333,1506702.475451069
