size,duration,throughput
1024,0.0009267598333951096,1104924.8824786232
2048,0.0012917584990958435,1585435.6688448205
4096,0.002215658379707577,1848660.4422025522
8192,0.004501303120612071,1819917.4284637116
16384,0.009381217136960595,1746468.476403716
32768,0.015657854474999983,2092751.599672792
65536,0.031508325603773604,2079958.1934036845
131072,0.06313128508750002,2076181.402268845
262144,0.13015021333333335,2014164.9658968414
524288,0.2638973439473684,1986711.9242570468
1048576,0.5408456997,1938771.077558038
2097152,1.1652045248,1799814.500686017
4194304,2.5457546874999997,1647568.0161150643
8388608,5.300540125,1582594.9435671896
16777216,11.533668458,1454629.6402653195
33554432,23.653244041,1418597.463495388
67108864,49.9164855,1344422.8560522355
134217728,111.4589175,1204190.126824083
268435456,239.115473333,1122618.5083646511
