size,duration,throughput
1024,0.0013827660282079615,740544.6612881317
2048,0.0013885434034990297,1474926.8872972836
4096,0.0022951338816029174,1784645.345891265
8192,0.004256733314042552,1924480.4397248433
16384,0.007858657698587125,2084834.4117272864
32768,0.015591521591900324,2101655.0441762353
65536,0.03131326530000002,2092914.915519844
131072,0.0634374721772152,2066160.5120999299
262144,0.1299706983846154,2016946.921561129
524288,0.26448093605263157,1982328.1323220474
1048576,0.5343962039,1962169.626856513
2097152,1.103933833,1899708.059767383
4194304,2.5981532705,1614340.4808419289
8388608,5.410011291,1550571.2555452778
16777216,11.447252416,1465610.732628751
33554432,23.716734208,1414799.850001338
67108864,50.250506208,1335486.327684319
134217728,103.186530125,1300729.1536735352
268435456,236.675726833,1134190.901584977
