size,duration,throughput
1024,0.0006404777709747662,1598806.4635585048
2048,0.0008688948003475229,2357017.212188268
4096,0.00143916680172662,2846091.2210355895
8192,0.0026522552778366934,3088692.128716127
16384,0.004990164988023962,3283258.176697649
32768,0.009737824560311284,3365022.6287248414
65536,0.01963919934509803,3336999.5817246935
131072,0.040131508367999995,3266062.137462892
262144,0.08281268960655737,3165505.2051255032
524288,0.1681094706,3118729.707069817
1048576,0.3513266162666666,2984618.732114796
2097152,0.7645945472857143,2742828.8724328745
4194304,1.616376156,2594881.13854607
8388608,3.808374708,2202674.012716923
16777216,8.263258,2030339.1228980143
33554432,18.149222125,1848808.2722718893
67108864,37.707942875,1779701.0094786296
134217728,79.241593166,1693778.7674060606
268435456,182.528745083,1470647.5732243503
