size,duration,throughput
1024,0.004531033271739132,225997.016262686
1117,0.004636436030583868,240917.80683089374
1218,0.0049458961859545,246264.77269355388
1328,0.005247102041972726,253092.0857602988
1448,0.0055674404783092385,260083.60675635625
1579,0.005969260689737473,264521.8699720491
1722,0.006280471588456719,274183.23222176085
1878,0.006738711088948788,278688.30926434044
2048,0.007056254655853312,290238.958184586
2233,0.007464779759701493,299138.09541372117
2435,0.008015328972756407,303792.8958719486
2656,0.008920947231729055,297726.2314200703
2896,0.009282944661111105,311969.9735076702
3158,0.009719292965048542,324920.7541491397
3444,0.010281072490759748,334984.5070244706
3756,0.011301106523702035,332356.8353348822
4096,0.012280764490196074,333529.724739034
4467,0.012981221943005175,344112.44331332046
4871,0.01368806251366119,355857.5214818432
5312,0.014460312890173414,367350.2807542843
5793,0.015084727843373492,384030.79327313043
6317,0.016309119625407157,387329.30685964576
6889,0.017617983528169023,391020.91275005013
7512,0.018858072360902246,398344.0012444939
8192,0.020034120476,408902.40276899893
8933,0.02114797662869199,422404.47664767964
9742,0.02322301570833334,419497.6277996567
10624,0.024749118251231515,429267.8184392024
11585,0.02575334092307693,449844.54772696964
12634,0.02721990776630435,464145.584491645
13777,0.0286136384857143,481483.6815275461
15024,0.029518072482352952,508976.32319935283
16384,0.030689420429447847,533864.7576504519
17867,0.03246033489677421,550425.6212025575
19484,0.03437646371232875,566783.138691845
21247,0.03691515711764706,575563.0385721155
23170,0.03935983427343751,588671.177806167
25268,0.04260385633898303,593091.8506285424
27554,0.04409985857894736,624809.2598907762
30048,0.04724747845283021,635970.4471847865
32768,0.05162272258762887,634759.2369692777
35734,0.0565892974494382,631462.159994615
38968,0.05604439967777776,695305.8686334945
42495,0.06158268974390243,690047.8068872854
46341,0.06628471618421053,699120.4408451362
50535,0.07124084004225352,709354.3530652822
55109,0.07929200223437499,695013.3487247081
60097,0.08382927956666669,716897.4886895791
65536,0.09037928912500001,725121.8795199833
71468,0.09513212620754717,751249.8968443132
77936,0.10229260851020411,761892.7812582428
84990,0.10741670799999996,791217.6939922608
92682,0.11591412559090909,799574.6810625888
101070,0.12416444987804874,814001.1098125789
110218,0.14082301583333334,782670.3564596646
120194,0.1481255853529412,811433.0803393068
131072,0.15594757036363638,840487.6055097757
142935,0.16710553579999995,855357.6595515757
155872,0.18599857685185184,838027.9174079504
169979,0.19749016469230765,860696.0263810077
185364,0.21209848579166668,873952.4910237852
202141,0.23027813036363637,877812.4074604717
220436,0.23613735577272726,933507.531151322
240387,0.26159580805,918925.2755688415
262144,0.27838900661111116,941646.3788966917
285870,0.29991989670588237,953154.502718236
311744,0.32115934862500006,970683.2490932909
339959,0.3489129190666666,974337.668290936
370728,0.3730327555000001,993821.5733979959
404281,0.4117642080000001,981826.4728827522
440872,0.4480472218333334,983985.5678515902
