size,duration,throughput
1024,0.0022519916758217,454708.60793762305
2048,0.0030518286107382615,671073.0716639335
4096,0.003503398263305322,1169150.5481696452
8192,0.005109817404494385,1603188.4021520326
16384,0.008865639753546095,1848033.5830752312
32768,0.0166537421063123,1967605.8264154268
65536,0.03058972076829268,2142419.0333875283
131072,0.05831773499999998,2247549.566182569
262144,0.11904183630232557,2202116.5679454394
524288,0.2368922539090909,2213191.8260239917
1048576,0.4816019128181818,2177267.0998419947
2097152,0.970002972,2162005.7469267217
4194304,1.9840692640000002,2113990.713985477
8388608,4.072527896,2059803.692993537
16777216,8.434385583,1989145.0106117353
33554432,17.327716959,1936460.0702674717
