size,duration,throughput
1024,0.0009879672102351329,1036471.6454064214
2048,0.001282409893305975,1596993.2941802095
4096,0.0018104889015206362,2262372.332997874
8192,0.002425196178952476,3377871.065069219
16384,0.00355724749644381,4605808.287553545
32768,0.0053445820811965795,6131068.716352035
65536,0.0076614242278287385,8554023.123005293
131072,0.012756299635204074,10275080.058348216
262144,0.021107851464135005,12419264.956711339
524288,0.042986517162393156,12196568.473304333
1048576,0.07625491031818182,13750930.866283938
2097152,0.15851686453125002,13229835.2367837
4194304,0.2969219731764706,14125946.810636293
8388608,0.627290380125,13372766.848948654
16777216,1.26699735425,13241713.523491362
33554432,2.4371907773333334,13767667.394800246
67108864,4.8352659795,13879042.907778058
134217728,10.534898208,12740296.617016919
268435456,35.743153334,7510122.386002688
536870912,92.923885708,5777534.031315048
