size,duration,throughput
1024,0.01134356362358276,90271.45560070295
1117,0.013611787986413035,82061.22524939141
1218,0.014417862164265124,84478.54377598576
1328,0.015054019984984984,88215.63949858969
1448,0.015694241858934168,92263.13784476984
1579,0.016614445601328902,95037.77844225534
1722,0.01736485568055556,99165.8112038457
1878,0.018344094146520138,102376.27352977009
2048,0.019358149922779906,105795.23395414943
2233,0.024297351111650493,91903.02225699346
2435,0.02548219673096446,95556.91079965378
2656,0.02649642524867725,100239.93708859244
2896,0.02825612226553672,102491.0627433184
3158,0.029897255047619028,105628.42625418544
3444,0.031164886472049704,110508.98590915
3756,0.0330537835986842,113632.98209980167
4096,0.035026629482517474,116939.59882849704
4467,0.03716763580000003,120185.20693748287
4871,0.0392197294140625,124197.6952103466
5312,0.04102380759836066,129485.78669260995
5793,0.044052541140350863,131502.0620840821
6317,0.046585989555555554,135598.70811516707
6889,0.04993136957425746,137969.37794295317
7512,0.05293522203157895,141909.29426004208
8192,0.05649672922471914,144999.54444116272
8933,0.06435103894871799,138816.7175842926
9742,0.06897037032876714,141249.0603365177
10624,0.07275089142028984,146032.57489484208
11585,0.07776515704615385,148974.17352509516
12634,0.08274756224590164,152681.235036936
13777,0.08865592556140346,155398.524269627
15024,0.09443246158490569,159097.83296808047
16384,0.1093026459130435,149895.73091427638
17867,0.1484323927647059,120371.29946643558
19484,0.15901994959375,122525.50733273396
21247,0.1682932602666667,126249.85674609529
23170,0.1788917502857143,129519.66741336243
25268,0.1912204069259259,132140.7082340757
27554,0.20813126656000003,132387.60545406444
30048,0.2185796376956522,137469.34671855616
32768,0.23277778400000002,140769.44731117468
35734,0.2781642245,128463.6802745998
38968,0.2995534864117647,130086.95197235924
42495,0.32252366193750004,131757.77474656992
46341,0.3425890136666666,135267.0347014952
50535,0.36610300957142866,138034.92098892553
55109,0.39281086923076924,140293.97941029086
60097,0.4242006771666666,141671.15526877897
65536,0.44789610658333334,146319.64653572332
71468,0.48725637781818176,146674.32434649026
77936,0.5186716353,150260.77135473536
84990,0.56525037,150358.1501415028
92682,0.6098929741111111,151964.36741229793
101070,0.65089132775,155279.3772032247
110218,0.7050538538750001,156325.64717466346
120194,0.7632465695714286,157477.28819467904
131072,0.8367571786666667,156642.8150743291
142935,1.0306312602,138686.84710015747
155872,1.0718348328,145425.39132900626
169979,1.1613499372000002,146363.2920236059
185364,1.2646141792499999,146577.5119728083
202141,1.34663355425,150108.39389976533
220436,1.4914510675,147799.68636148368
240387,1.587392747,151435.1129890856
262144,1.7197281766666668,152433.39241444034
285870,2.083160155333333,137229.00722160607
311744,2.2071804680000002,141240.8294290868
339959,2.390939009333333,142186.39566836585
370728,2.5939940354999997,142917.8305448729
404281,2.8083694255,143955.776020465
440872,3.0380295825,145117.74425751498
480774,3.273466015,146870.01416753675
524288,3.578224634,146521.823984514
571740,3.868300389,147801.3449073952
623487,4.1890520030000005,148837.25471860653
679917,4.552116405,149362.83247352505
741455,4.978180623,148940.95979048207
808563,5.413566873,149358.6426414502
881744,5.736326039,153712.32283611834
961548,6.333269528,151824.8979849828
1048576,6.917730518,151578.03520556277
1143480,5.661960519,201958.31393786517
1246974,6.005388644,207642.5147348049
1359835,6.79877031,200011.90479988433
1482910,7.235513643,204948.82231818355
1617125,7.522980986,214958.00707318177
1763488,8.479818069,207962.95222970072
1923097,9.184309684,209389.3897491534
2097152,10.081231246,208025.3838867253
2286960,10.936041715,209121.367639187
2493948,11.969073954,208365.9946947304
2719670,12.946144162,210075.67704852816
2965821,13.97691739,212194.21402046364
3234251,15.464371244,209142.09501112776
3526975,16.760272129,210436.61897931466
3846194,18.112417389,212351.22388112938
4194304,19.437304055,215786.30390982996
4573921,21.179949002,215955.2414204628
4987896,23.072976762,216179.12813984224
5439339,24.950800198,218002.58736535453
5931642,27.833690302,213110.15304261612
6468501,29.814468166,216958.45667898204
7053950,33.176919727,212616.18191333668
7692387,36.143357799,212829.8937464197
8388608,39.188837902,214056.0539451946
9147842,43.792714618,208889.5853978412
9975792,46.835499982,212996.38103220708
10878679,50.287858262,216328.14313391567
11863283,55.86803826,212344.72105124532
12937002,60.676954612,213211.12904769063
14107901,65.943215339,213940.14422066454
15384775,71.772400494,214355.029149208
16777216,76.55473945,219153.19835890317
