size,duration,throughput
1024,0.03356375700671141,30509.09943708748
1117,0.038122838962121215,29300.02146770468
1218,0.040901590845528454,29778.79282495334
1328,0.04168219493333337,31860.12641906232
1448,0.045223984171171176,32018.4085179088
1579,0.04809671168269233,32829.68720225848
1722,0.05329142559574469,32312.890502548336
1878,0.05797727918390805,32391.999528692104
2048,0.06333035531645571,32338.362697735396
2233,0.06975890474999999,32010.250275610877
2435,0.07540764917910447,32291.15383528944
2656,0.08036014131746033,33051.21116583844
2896,0.08215899163934427,35248.7286201449
3158,0.08914516168421054,35425.366226682694
3444,0.0950883518867924,36218.947238671884
3756,0.10015196245999998,37503.009504183414
4096,0.11936300860465116,34315.48892644445
4467,0.1267606823,35239.63360680017
4871,0.08808594849122806,55298.26360994539
5312,0.06931544084931508,76635.16144328885
5793,0.07475528226865673,77492.8516647295
6317,0.08020635996825401,78759.3403129165
6889,0.08525800576271186,80801.796128956
7512,0.09218998759999997,81483.90292223016
8192,0.1382738794324324,59244.73974134084
8933,0.2189766846521739,40794.29741202504
9742,0.2388648933181818,40784.56178582549
10624,0.251570203,42230.756557444925
11585,0.26126352075,44342.20271832573
12634,0.3059828673529412,41289.89348095459
13777,0.17596617437931034,78293.45639067247
15024,0.15987552396875002,93973.10874763205
16384,0.17131676720000005,95635.70611201678
17867,0.1859964081111111,96060.99484096789
19484,0.2005319666,97161.56645920013
21247,0.21493927291666667,98851.17648200846
23170,0.28966748261111114,79988.26720604517
25268,0.3306832355,76411.49380250333
27554,0.36227011142857146,76059.26939802982
30048,0.38947542461538465,77149.92551756775
32768,0.39231800053846155,83524.07984090838
35734,0.4275787281666667,83572.91335145928
38968,0.46778314845454544,83303.55663461128
42495,0.5034139581000001,84413.63080274113
46341,0.5427780412000001,85377.44065243882
50535,0.5765643107777778,87648.50521501918
55109,0.640074303125,86097.81666119749
60097,0.665342441125,90324.91584090814
65536,0.7175341664285714,91335.02356577181
71468,0.756917433,94419.80972315642
77936,0.8338543138333333,93464.76801411316
84990,0.9254940536666666,91832.0324839285
92682,0.9846337493333333,94128.40059844818
101070,1.0626431560000003,95111.89097612743
110218,1.1280829369999998,97703.80916593902
120194,1.2189883852,98601.43169475705
131072,1.45004899675,90391.42835433295
142935,1.4977580330000002,95432.6378832381
155872,1.5824758457499999,98498.81779783242
169979,1.7478809193333333,97248.61580663768
185364,1.8999718573333333,97561.44507327801
202141,2.0641924993333336,97927.39779128396
220436,2.2308684716666667,98811.74206353535
240387,2.391953714,100498.18213162966
262144,2.34285151,111891.00072330235
285870,2.3878132109999997,119720.41978956957
311744,2.614206119,119249.96951627135
339959,2.783325129,122141.31811548056
370728,2.9770569780000002,124528.3522417017
404281,3.270752837,123604.8763534253
440872,3.4749980455,126869.7116451371
480774,3.607390545,133274.72975344287
524288,3.942019061,132999.86425408104
571740,4.379428462,130551.28196771536
623487,4.5162247635,138054.90927710335
679917,4.814642966499999,141218.5710821804
741455,5.295589789,140013.67733206044
808563,5.7384220809999995,140903.36831045663
881744,6.388921404,138011.40196339783
961548,6.779947549,141822.33609488944
1048576,9.711811142,107969.15062168946
1143480,10.401463069,109934.53444140666
1246974,11.225752183,111081.55423993648
1359835,12.151619787,111905.65733917824
1482910,13.539655359,109523.46722874958
1617125,14.330544786,112844.62832004996
1763488,14.686589526,120074.71148274808
1923097,15.9272564,120742.51532737302
2097152,13.674624526,153360.84702089024
2286960,15.924658692,143611.24117208805
2493948,15.707834421,158770.9631485426
2719670,18.16028718,149759.1956032052
2965821,19.449611399,152487.41680013656
3234251,20.571272179,157221.7299862308
3526975,24.730385824,142617.06327999098
3846194,24.897332125,154482.1742622755
4194304,29.950673687,140040.3892023479
4573921,29.438873947,155370.10716628004
4987896,35.012329935,142461.12753021505
5439339,37.625677746,144564.54543408877
5931642,41.509420818,142898.69343172872
6468501,41.067292693,157509.79857268673
7053950,48.992727637,143979.5320698323
7692387,53.06736399,144955.13667212776
8388608,56.392436541,148754.13290399467
9147842,61.568355393,148580.25590594322
9975792,67.926402839,146861.7736706115
10878679,72.689080858,149660.42865849112
11863283,81.697431584,145209.98726627484
12937002,89.051880122,145274.88900039464
14107901,97.356872671,144909.14316521966
15384775,105.411826158,145949.23132192038
16777216,122.499832141,136957.05297529759
