size,duration,throughput
1024,0.013202,77566.142416
1116,0.014224,78458.014458
1217,0.015077,80716.783819
1327,0.016119,82326.443899
1448,0.017050,84927.820130
1579,0.017736,89027.020332
1722,0.019067,90313.064631
1878,0.021126,88896.073606
2048,0.022337,91687.749596
2233,0.023890,93468.260593
2435,0.025728,94644.623973
2655,0.028017,94763.510010
2896,0.028708,100878.763247
3158,0.030538,103411.694201
3444,0.033411,103078.354362
3756,0.035365,106205.764162
4096,0.038355,106792.188673
4466,0.041162,108497.602579
4870,0.043591,111721.577921
5311,0.046002,115451.152800
5792,0.049646,116666.414797
6316,0.052904,119385.932937
6888,0.057009,120822.933053
7512,0.060920,123309.815727
8192,0.065435,125192.472232
8933,0.071877,124281.930346
9741,0.078788,123634.870745
10623,0.083585,127092.113011
11585,0.090722,127697.454432
12633,0.096188,131335.906886
13777,0.104337,132043.585343
15024,0.111299,134987.630653
16384,0.119259,137382.163093
17866,0.130085,137341.183825
19483,0.138522,140649.595951
21247,0.153983,137982.431801
23170,0.166233,139382.518220
25267,0.178719,141378.704914
27554,0.190047,144985.245091
30048,0.205136,146478.600537
32768,0.220675,148489.572834
35733,0.238826,149619.281404
38967,0.257582,151280.262212
42494,0.278476,152594.883067
46340,0.314012,147574.024650
50535,0.335843,150472.261966
55108,0.352976,156124.148756
60096,0.382580,157080.714663
65536,0.411797,159146.216503
71467,0.453685,157525.492107
77935,0.486807,160094.291043
84989,0.529092,160631.905401
92681,0.567195,163402.263905
101070,0.626165,161411.170029
110217,0.670887,164285.441695
120193,0.745274,161273.590632
131072,0.812983,161223.458231
142935,0.855572,167063.618520
155871,0.938431,166097.397723
169979,1.001691,169692.042001
185363,1.109394,167084.986823
202140,1.175165,172009.904835
220435,1.274928,172900.017138
240387,1.337424,179738.858935
262144,1.464251,179029.381354
285870,1.592567,179502.664716
311743,1.740510,179110.131676
339958,1.851326,183629.486930
370727,1.992933,186020.801028
404281,2.138000,189093.114612
440871,2.334100,188882.669756
480774,2.502858,192090.009156
524288,2.799769,187261.145306
571740,3.017402,189480.895758
623487,3.220115,193622.575566
679917,3.538970,192122.866350
741455,3.783700,195960.296726
808562,4.178203,193519.065680
881743,4.477551,196925.273701
961548,4.847735,198349.962823
1048576,5.252397,199637.629798
1143480,5.709595,200273.395849
1246974,6.229842,200161.403987
1359834,6.749821,201462.234861
1482910,7.363611,201383.522139
1617125,7.968104,202949.788267
1763487,8.636328,204194.078664
1923096,9.393752,204720.755361
2097152,10.259518,204410.377113
2286960,11.134541,205393.298135
2493948,12.143497,205373.134046
2719669,13.281058,204778.031354
2965820,14.474954,204893.218558
3234250,15.852510,204021.319768
3526975,17.067751,206645.557935
3846193,18.597705,206810.092304
4194304,19.920783,210549.155676
