size,duration,throughput
1024,0.0031068193832298197,329597.53165163385
2048,0.006113693655256728,334985.7083923515
4096,0.010954388962800895,373914.0552621664
8192,0.022346238535714276,366594.1356039566
16384,0.04404524669298246,371981.11556065804
32768,0.06812195022972978,481019.69907636894
65536,0.11733251332558137,558549.3580807114
131072,0.23831321409523806,549998.8764685922
262144,0.4974257906363636,527001.2229656118
524288,1.027086864,510461.2067163971
1048576,2.099811631,499366.69771689625
2097152,4.2480290085,493676.47815110255
4194304,8.662616351,484184.4345924214
8388608,20.461144055,409977.46643351123
