size,duration,throughput
1024,0.01995990246215139,51302.855910330305
1117,0.021400738764957263,52194.45983935081
1218,0.02312982910599079,52659.27363399885
1328,0.024596616372549028,53991.16609722425
1448,0.025528507647959178,56720.9027636113
1579,0.027070497805405425,58329.18224668576
1722,0.028144863320224686,61183.45576624577
1878,0.02979751746428571,63025.38465665493
2048,0.031251724931249995,65532.382756643085
2233,0.033133030807947016,67394.98155008539
2435,0.03482962598611108,69911.7469986901
2656,0.03764751648120301,70549.14236709643
2896,0.040026143392,72352.71136761134
3158,0.04356832471304349,72483.85199109015
3444,0.04654612362037035,73991.12390301768
3756,0.0488584071262136,76875.20369416267
4096,0.05157975458762888,79411.00210241022
4467,0.053679930180851106,83215.45845813122
4871,0.057683904379310334,84442.96641173784
5312,0.062734695925,84674.03757484618
5793,0.06497058102597407,89163.43225688659
6317,0.06980413549999999,90496.07096702747
6889,0.07330397646376817,93978.53066545461
7512,0.07914571218749998,94913.54354363143
8192,0.08361813365000001,97969.18015761045
8933,0.08840060217543859,101051.34784344221
9742,0.09376931801851852,103893.25853981417
10624,0.09967925547058823,106581.85547076805
11585,0.10627066937500002,109014.08703016366
12634,0.11381634586363633,111003.38799434688
13777,0.12216819475609755,112770.75860460298
15024,0.1369597310810811,109696.47706964093
16384,0.13944092736111113,117497.78425935337
17867,0.1512786870588235,118106.52476810935
19484,0.16463782925806453,118344.6118538131
21247,0.21198447258333333,100229.03914175874
23170,0.22821047818181814,101529.08045501825
25268,0.2562368854,98611.87611828504
27554,0.26460162754999994,104133.90218014934
30048,0.2882307579444444,104249.80392200772
32768,0.3082404931764706,106306.60385441314
35734,0.33755072199999997,105862.60870151539
38968,0.33645018393333337,115821.00964974178
42495,0.3934667266923077,108001.50843054954
46341,0.4125563021538461,112326.48673178918
50535,0.4451897220833334,113513.4022490765
55109,0.4637709797272727,118828.04748241826
60097,0.5006761196,120031.68844564162
65536,0.5647159842,116051.257328657
71468,0.5636046874444446,126805.19092922681
77936,0.6097192242222221,127822.76973375364
84990,0.659396217625,128890.63923677825
92682,0.709288808125,130668.91643899503
101070,0.7783528418571429,129851.1350698584
110218,0.8494123348333334,129757.9461471163
120194,0.9134885413333333,131576.9104498718
131072,0.9858533676666666,132952.8348726173
142935,1.0450774372,136769.76931293757
155872,1.1233084685999999,138761.5284288439
169979,1.249386093,136050.01764654668
185364,1.3785269652499998,134465.26957590829
202141,1.3954125775000001,144861.09933318268
220436,1.5488904030000001,142318.6557118851
240387,1.6726599646666667,143715.4024595221
262144,1.7684320303333336,148235.2702866325
285870,2.021020641333333,141448.3326659159
311744,2.1481672560000002,145120.91604099935
339959,2.2432583326666666,151546.96855438614
370728,2.513189921,147512.92646139814
404281,2.650509426,152529.54622014612
440872,2.9889209365,147502.061568834
480774,3.2021339055,150141.75365190703
524288,3.4700504675,151089.4452142431
571740,3.9478161959999998,144824.371656233
623487,4.123093097,151218.2687443208
679917,4.39860117,154575.73299376902
741455,4.6439833575,159659.2715610308
808563,5.1471165345,157090.47863602435
881744,5.477232759,160983.4817684439
961548,5.990422445,160514.22229872472
1048576,6.798068643,154246.16241257335
1143480,7.085497602,161383.1609620803
1246974,7.955767497,156738.3662820985
1359835,8.367238435,162518.97332240894
1482910,9.112260934,162737.8771021484
1617125,9.986102913,161937.54601655586
1763488,10.552661142,167113.10789477068
1923097,11.84157812,162402.08699480337
2097152,12.861449318,163057.20670725423
2286960,13.971506453,163687.4311079703
2493948,15.782627807,158018.55245511586
2719670,16.899699785,160930.0777291885
2965821,18.536463222,159999.29244754824
3234251,20.116720773,160774.26517451616
3526975,21.526223429,163845.50739394815
3846194,22.828900252,168479.16270793823
4194304,25.221658063,166297.7108611672
4573921,26.714219678,171216.7173562164
4987896,30.681266186,162571.38703995207
5439339,31.596876342,172147.99783134842
5931642,34.885475195,170031.85328116614
6468501,39.477138683,163854.3525644508
7053950,40.512248682,174118.94499784065
7692387,44.866021129,171452.39997731557
8388608,49.599979356,169125.23168188072
9147842,52.23950597,175113.4860512158
9975792,53.901632271,185074.0242864064
10878679,59.388761748,183177.40056882656
11863283,65.314565913,181633.0375034885
12937002,74.037522576,174735.74952106323
14107901,76.829594241,183625.86890340937
15384775,82.855088823,185682.92205764062
16777216,89.091264133,188314.93932956338
