size,duration,throughput
1024,0.0041983454664991605,243905.60714239517
2048,0.008563296881849326,239160.2239484327
4096,0.01414106579096044,289652.8494067494
8192,0.02563889533163265,319514.54592869716
16384,0.04801025928571428,341260.39400239504
32768,0.09441127067924529,347077.20555236086
65536,0.18581877692592594,352687.71587128146
131072,0.3510806317333333,373338.73803541803
262144,0.695842695,376728.8237465797
524288,1.38771949125,377805.4594648254
1048576,2.746531796,381781.85358244437
2097152,5.57501406,376169.8136416897
4194304,11.22439562,373677.49159932055
8388608,22.738700043,368913.2617140263
16777216,46.187437586,363241.97394066706
