size,duration,throughput
1024,0.0011262320477477472,909226.4796120905
2048,0.0019381348636187503,1056686.0121261722
4096,0.0022744710595725337,1800858.2623028874
8192,0.006506912687906375,1258968.7910251964
16384,0.012173747963503644,1345846.821300926
32768,0.021836113056768542,1500633.3734768284
65536,0.03909250322656249,1676433.960245087
131072,0.06692826114666668,1958395.4185328174
262144,0.13855350502702704,1892005.5465133465
524288,0.24959275523809532,2100573.790693016
1048576,0.45972785963636364,2280862.4233245393
2097152,0.8558904686666667,2450257.4532311475
4194304,1.5867824865,2643275.9598018164
8388608,3.317401405,2528668.3689699587
16777216,7.033908643,2385191.0582740274
